EventTime;AspectName;Category;Message;FromValue;ToValue;Path;ObjectName;ObjectDescription;SourceName;UserAccount;Condition;SubCondition;NodeName;Component
 05-28-2021 03:27:26;;Process Simple Event;LL Falling;;;;PDIT12117;Nitrogen 6 bar szuro DP meres;PDIT12117;;;;;
 05-28-2021 03:27:26;;Process Simple Event;L Falling;;;;PDIT12117;Nitrogen 6 bar szuro DP meres;PDIT12117;;;;;
 05-28-2021 03:27:27;;Process Simple Event;LLL Rising;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:27:27;;Process Simple Event;LL Rising;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:27:27;;Process Simple Event;L Rising;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:27:27;;Process Simple Event;LLL Falling;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:27:27;;Process Simple Event;LL Falling;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:27:27;;Process Simple Event;L Falling;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:27:28;;Process Simple Event;HHH Rising;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:27:28;;Process Simple Event;HH Rising;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:27:28;;Process Simple Event;H Rising;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:27:30;;Process Simple Event;HHH Falling;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:27:30;;Process Simple Event;HH Falling;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:27:30;;Process Simple Event;H Falling;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:27:33;;Process Simple Event;LLL Rising;;;;PDIT12117;Nitrogen 6 bar szuro DP meres;PDIT12117;;;;;
 05-28-2021 03:27:33;;Process Simple Event;LL Rising;;;;PDIT12117;Nitrogen 6 bar szuro DP meres;PDIT12117;;;;;
