EventTime;AspectName;Category;Message;FromValue;ToValue;Path;ObjectName;ObjectDescription;SourceName;UserAccount;Condition;SubCondition;NodeName;Component;Class
 2021-06-01 05:28:54;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:28:55;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:28:56;;Process Simple Event;MOP not completed deactivated;;;;KIFAGY2;2 gcs, egymáshoz reteszelve;KIFAGY2Un;;;;;;1
 2021-06-01 05:28:58;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:29:00;;Process Simple Event;MOP not completed deactivated;;;;KIFAGY2;2 gcs, egymáshoz reteszelve;KIFAGY2Un;;;;;;1
 2021-06-01 05:29:01;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:29:01;;Process Simple Event;LLL Rising;;;;PIT12519;kopenyter nyomas;PIT12519;;;;;;163
 2021-06-01 05:29:02;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:29:06;;Process Simple Event;L Rising;;;;PT14119;kopenyter nyomas;PT14119;;;;;;335
 2021-06-01 05:29:07;;Process Simple Event;L Falling;;;;PT14119;kopenyter nyomas;PT14119;;;;;;335
 2021-06-01 05:29:07;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:29:09;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:29:09;;Process Simple Event;LLL Falling;;;;PIT12519;kopenyter nyomas;PIT12519;;;;;;163
 2021-06-01 05:29:10;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:29:11;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:29:13;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:29:14;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:29:16;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:29:17;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:29:18;;Process Simple Event;LLL Rising;;;;PIT12519;kopenyter nyomas;PIT12519;;;;;;163
 2021-06-01 05:29:20;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:29:21;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:29:22;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:29:23;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:29:25;;Process Simple Event;L Rising;;;;PT14119;kopenyter nyomas;PT14119;;;;;;335
 2021-06-01 05:29:26;;Process Simple Event;L Falling;;;;PT14119;kopenyter nyomas;PT14119;;;;;;335
 2021-06-01 05:29:26;;System Simple Event;Controller_4   (0000) Warning on backup unit,  Redundant mode enabled;;;;3;;172.16.84.164-3;;;;;;9950
 2021-06-01 05:29:26;;System Simple Event;Controller_4   (0000) Redundant mode enabled;;;;3;;172.16.84.164-3;;;;;;9950
 2021-06-01 05:29:27;;Process Simple Event;LLL Falling;;;;PIT12519;kopenyter nyomas;PIT12519;;;;;;163
 2021-06-01 05:29:29;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:29:31;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:29:32;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:29:34;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:29:37;Control Module;AuditEvent_OperatorAction;HSICmd.Man0 False -> True ;False;True;[Control Structure]Root/RGAX1_CN/RGAX1_PR/Applications/Application_3/Control Modules/U_32B10_00/SZED GAZ22BA/KSVG11073/KSVG11073;KSVG11073;szedo vakuum beparlo II.;{36C997CC-BC4C-4D53-BC89-41D2C2A1B585};RGAX3\TothL;;;OW02E-AX1;Audit Trail configuration;
 2021-06-01 05:29:37;;Process Simple Event;LLL Rising;;;;PIT12519;kopenyter nyomas;PIT12519;;;;;;163
